StreamName,MaxE2E(us),Deadline(us),Path
Stream_1,278.8,16905,ES_1->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->ES_28
Stream_2,167.4,18708,ES_1->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->ES_58
Stream_3,224.2,11991,ES_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->ES_83
Stream_4,95.2,18970,ES_2->Switch_1->Switch_32->ES_94
Stream_5,387.7,15656,ES_3->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->ES_66
Stream_6,482.8,19566,ES_3->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->ES_56
Stream_7,394.0,16436,ES_4->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->ES_43
Stream_8,93.7,2650,ES_4->Switch_2->Switch_1->ES_2
Stream_9,385.6,5396,ES_5->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->ES_84
Stream_10,473.5,12511,ES_5->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->ES_33
Stream_11,548.1,14897,ES_6->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->ES_33
Stream_12,252.7,6852,ES_6->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->ES_88
Stream_13,656.6,4781,ES_7->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->ES_80
Stream_14,457.6,6584,ES_7->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->ES_73
Stream_15,425.4,11166,ES_8->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->ES_91
Stream_16,439.8,9573,ES_8->Switch_3->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->ES_46
Stream_17,697.9,4239,ES_9->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->ES_89
Stream_18,230.4,4707,ES_9->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->ES_83
Stream_19,815.5,9368,ES_10->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->ES_47
Stream_20,1285.5,2239,ES_10->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->ES_72
Stream_21,338.4,2699,ES_11->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->ES_33
Stream_22,968.7,6058,ES_11->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->ES_40
Stream_23,536.9,17653,ES_12->Switch_4->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->ES_33
Stream_24,322.8,3618,ES_12->Switch_4->Switch_5->Switch_6->ES_18
Stream_25,1119.1,10912,ES_13->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->ES_46
Stream_26,358.3,12857,ES_13->Switch_5->Switch_6->Switch_7->ES_20
Stream_27,1207.2,12067,ES_14->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->ES_80
Stream_28,940.5,9857,ES_14->Switch_5->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->ES_39
Stream_29,890.0,19990,ES_15->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->ES_90
Stream_30,792.2,16283,ES_15->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->ES_66
Stream_31,312.8,18305,ES_16->Switch_6->Switch_5->Switch_4->ES_10
Stream_32,1355.9,5976,ES_16->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->ES_58
Stream_33,165.5,6108,ES_17->Switch_6->Switch_5->Switch_4->ES_11
Stream_34,285.0,7168,ES_17->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->ES_1
Stream_35,502.4,6786,ES_18->Switch_6->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->ES_33
Stream_36,1427.1,1207,ES_18->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->ES_82
Stream_37,413.1,8409,ES_19->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->ES_40
Stream_38,530.5,8487,ES_19->Switch_7->Switch_8->Switch_9->ES_27
Stream_39,1098.2,8858,ES_20->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->ES_37
Stream_40,715.1,6716,ES_20->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->ES_79
Stream_41,1460.6,4337,ES_21->Switch_7->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->ES_48
Stream_42,569.4,14434,ES_21->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->ES_6
Stream_43,2072.0,18824,ES_22->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->ES_95
Stream_44,351.5,6163,ES_22->Switch_8->Switch_7->ES_20
Stream_45,1296.3,10148,ES_23->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->ES_79
Stream_46,1680.5,9532,ES_23->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->ES_80
Stream_47,377.7,12256,ES_24->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->ES_9
Stream_48,458.4,7525,ES_24->Switch_8->Switch_9->Switch_10->Switch_11->Switch_12->ES_34
Stream_49,1327.6,17226,ES_25->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->ES_63
Stream_50,1254.3,11743,ES_25->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->ES_47
Stream_51,1618.2,8443,ES_26->Switch_9->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->ES_66
Stream_52,2141.5,7455,ES_26->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->Switch_26->ES_78
Stream_53,177.0,11597,ES_27->Switch_9->Switch_10->Switch_11->Switch_12->ES_34
Stream_54,3376.3,8530,ES_27->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->Switch_29->Switch_28->Switch_27->ES_79
Stream_55,618.6,7093,ES_28->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->ES_48
Stream_56,1849.4,15908,ES_28->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->ES_91
Stream_57,319.7,6227,ES_29->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->ES_49
Stream_58,751.5,4762,ES_29->Switch_10->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->ES_65
Stream_59,2709.1,5588,ES_30->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->ES_1
Stream_60,2214.8,15926,ES_30->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->ES_1
Stream_61,1411.8,3098,ES_31->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->ES_12
Stream_62,464.2,18697,ES_31->Switch_11->Switch_12->Switch_13->Switch_14->ES_42
Stream_63,1207.6,10889,ES_32->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->ES_21
Stream_64,1512.8,15617,ES_32->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->ES_60
Stream_65,552.2,4406,ES_33->Switch_11->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->ES_49
Stream_66,2285.0,17319,ES_33->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->ES_9
Stream_67,2270.4,7579,ES_34->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->ES_11
Stream_68,99.0,5751,ES_34->Switch_12->Switch_13->ES_37
Stream_69,4290.6,17153,ES_35->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->Switch_31->Switch_30->ES_89
Stream_70,2300.3,8155,ES_35->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->ES_13
Stream_71,674.6,1824,ES_36->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->ES_50
Stream_72,988.2,7504,ES_36->Switch_12->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->ES_81
Stream_73,4218.9,12667,ES_37->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->Switch_1->Switch_32->ES_95
Stream_74,958.3,18143,ES_37->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->ES_64
Stream_75,2867.2,13440,ES_38->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->ES_9
Stream_76,1131.0,14181,ES_38->Switch_13->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->ES_65
Stream_77,639.0,8853,ES_39->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->ES_23
Stream_78,596.8,1193,ES_39->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->ES_16
Stream_79,445.5,8176,ES_40->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->ES_19
Stream_80,1641.6,4508,ES_40->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_26
Stream_81,5076.9,13711,ES_41->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->ES_5
Stream_82,2191.4,13268,ES_41->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->ES_87
Stream_83,1079.7,2557,ES_42->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->ES_85
Stream_84,1027.3,10418,ES_42->Switch_14->Switch_15->Switch_16->Switch_17->Switch_18->ES_53
Stream_85,5532.2,12483,ES_43->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->Switch_6->Switch_5->Switch_4->Switch_3->Switch_2->ES_6
Stream_86,143.7,8346,ES_43->Switch_15->Switch_14->ES_40
Stream_87,592.4,1433,ES_44->Switch_15->Switch_16->Switch_17->Switch_18->Switch_19->ES_56
Stream_88,598.6,9247,ES_44->Switch_15->Switch_14->ES_41
Stream_89,603.0,16230,ES_45->Switch_15->Switch_14->Switch_13->ES_37
Stream_90,135.5,9834,ES_45->Switch_15->Switch_16->Switch_17->Switch_18->ES_52
Stream_91,216.4,7103,ES_46->Switch_16->Switch_17->Switch_18->Switch_19->Switch_20->Switch_21->Switch_22->Switch_23->ES_67
Stream_92,200.7,4911,ES_46->Switch_16->Switch_17->Switch_18->ES_53
Stream_93,3052.5,4689,ES_47->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_25
Stream_94,266.7,13332,ES_47->Switch_16->Switch_17->Switch_18->ES_54
Stream_95,557.1,7738,ES_48->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->ES_21
Stream_96,458.0,10155,ES_48->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->ES_29
Stream_97,1225.4,8717,ES_49->Switch_17->Switch_16->Switch_15->Switch_14->ES_42
